#{"t_start": 1677560538.3590717, "env_id": null}
r,l,t
-2557.980624,1905,455.549384
-2597.573173,1905,916.545494
-2517.816253,1905,1372.486123
-2557.838936,1905,1836.345032
-2597.864908,1905,2298.966167
-1639.353746,571,2436.697776
-2598.105742,1905,2899.734895
-2597.139508,1905,3361.061433
-2517.271498,1905,3827.831975
-599.909037,5,3832.323131
-2597.956396,1905,4294.265562
-2437.904321,1905,4755.228744
-2077.258651,1905,5226.459998
-2597.710459,1905,5704.629787
-2597.997589,1905,6168.302459
-2597.392978,1905,6636.462422
-2598.133607,1905,7095.656401
-2477.771973,1905,7562.217832
-2597.963078,1905,8024.776281
-2597.472431,1905,8498.491324
-2558.350716,1905,8993.960622
-2597.800674,1905,9467.922045
-2598.34274,1905,9955.857579
-2597.834732,1905,10447.815691
-2597.372,1905,10938.330179
-2037.547376,1905,11418.04642
-2597.49564,1905,11908.033417
-2197.499309,1901,12408.744748
-2558.029563,1905,12960.30546
-2557.739749,1905,13576.290043
-2237.676245,1905,14073.801012
-2597.459577,1905,14549.446003
-2557.167495,1905,15032.976095
-2557.403609,1905,15506.478584
-2318.16061,1905,15972.928169
-1919.078624,864,16190.880536
-2598.205665,1905,16648.531572
-2598.420666,1901,17125.860093
-2598.072604,1905,17588.669951
-2597.715454,1905,18064.052951
-2517.757482,1905,18536.64309
-2598.020434,1905,19000.450273
-2598.051357,1905,19484.303074
-2077.326642,1901,19948.287874
-2597.947204,1905,20422.53021
-2598.118202,1905,20885.837389
-2598.335871,1905,21397.955281
-2597.243222,1905,21888.317662
-2597.283286,1905,22356.705965
-2597.561161,1905,22831.932881
-2597.657393,1905,23426.844036
-2597.600337,1905,24062.198808
-2357.99789,1905,24671.431003
-2078.035071,1901,25194.980079
-2598.364522,1905,25691.056781
-2597.655577,1905,26220.772747
-2597.918119,1905,26831.786417
